STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,LOCAL_REVENUE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,TOTAL_SCORE
33,1994,1131662.0,5648390.0,454682.0,1640491.0,362721.0,490626.0,8949.0,238.9090909090909,277.8333333333333,214.0,261.90909090909093,992.6515151515152
34,1994,118778.0,603902.0,65506.0,291334.0,46522.0,50938.0,639.0,241.1818181818182,287.5,225.0,267.7,1021.3818181818183
35,1994,1816817.0,10735756.0,537642.0,5926170.0,472696.0,658754.0,17505.0,239.45454545454547,282.25,223.1818181818182,267.7,1012.5863636363638
36,1994,316322.0,1518540.0,120788.0,558639.0,116301.0,129800.0,5367.0,233.72727272727272,273.0,216.75,261.09090909090907,984.5681818181818
37,1994,518425.0,3088542.0,212544.0,1660527.0,110201.0,223352.0,1069.0,235.6,281.3636363636364,217.36363636363637,265.6363636363636,999.9636363636364
38,1994,1720681.0,13271564.0,686113.0,7453385.0,703486.0,963256.0,3583.0,240.8,282.0,215.0,267.8,1005.5999999999999
39,1994,144918.0,1012987.0,48443.0,578918.0,14152.0,14866.0,469.0,234.0909090909091,274.4166666666667,220.0,262.8181818181818,991.3257575757575
40,1994,634415.0,3179542.0,285908.0,1423503.0,211713.0,251078.0,7972.0,232.8181818181818,275.8181818181818,203.0,258.3636363636364,970.0
41,1994,108439.0,507927.0,51846.0,329490.0,23351.0,52745.0,1244.0,240.77777777777777,287.44444444444446,221.22222222222223,268.1111111111111,1017.5555555555554
42,1994,857014.0,3535898.0,341912.0,1499391.0,225590.0,270608.0,10831.0,231.54545454545453,272.54545454545456,213.0,260.72727272727275,977.8181818181819
43,1994,3601627.0,19713604.0,1456330.0,9687625.0,936331.0,1717181.0,128736.0,238.36363636363637,279.25,212.0,260.27272727272725,989.8863636363636
44,1994,469811.0,1792011.0,125520.0,683643.0,137271.0,256177.0,3273.0,238.0909090909091,281.6363636363636,217.0,265.6363636363636,1002.3636363636364
45,1994,98377.0,892124.0,34989.0,637208.0,25011.0,38902.0,1903.0,243.0,289.2,227.0,272.0,1031.2
46,1994,1044721.0,6125739.0,372866.0,3353229.0,314439.0,587495.0,3115.0,240.9090909090909,282.4166666666667,213.0,266.90909090909093,1003.2348484848485
47,1994,915952.0,5739012.0,327784.0,1432963.0,252127.0,840257.0,6155.0,242.33333333333334,286.6666666666667,213.0,267.09090909090907,1009.090909090909
48,1994,313750.0,1854403.0,147289.0,521613.0,116579.0,151404.0,2754.0,231.1818181818182,268.6666666666667,213.0,258.09090909090907,970.939393939394
49,1994,843747.0,5682439.0,238786.0,3079790.0,193556.0,504767.0,18531.0,241.0,285.3636363636364,224.0,266.8,1017.1636363636364
50,1994,100899.0,674921.0,38849.0,284600.0,21161.0,48647.0,738.4705882352941,241.45454545454547,283.3333333333333,221.0,267.3636363636364,1013.1515151515151
0,1995,727480.0,3367437.0,328957.0,877114.0,326956.0,243365.0,9324.0,226.0909090909091,264.1666666666667,212.6153846153846,255.0,957.8729603729604
1,1995,125421.0,1117068.0,123037.0,284003.0,37579.0,159146.0,2419.0,234.77777777777777,280.0,209.88888888888889,258.3333333333333,983.0
2,1995,735018.0,3815218.0,376437.0,1769608.0,226507.0,710135.0,4027.0,230.9090909090909,274.6666666666667,210.23076923076923,258.6363636363636,974.4428904428904
3,1995,447757.0,2057550.0,197556.0,615537.0,119934.0,160693.0,1525.0,231.54545454545453,269.75,214.69230769230768,258.8181818181818,974.8059440559439
4,1995,5299405.0,29512214.0,2612241.0,11358487.0,2181053.0,2669270.0,69182.0,227.9090909090909,269.1666666666667,208.23076923076923,255.0,960.3065268065268
5,1995,639805.0,3709875.0,201341.0,1930546.0,115636.0,449501.0,10472.0,239.4,283.1818181818182,222.66666666666666,267.6,1012.8484848484849
6,1995,489513.0,4420632.0,147466.0,2650480.0,137005.0,91833.0,8093.0,239.9090909090909,282.25,227.0,270.1818181818182,1019.340909090909
7,1995,106813.0,802018.0,51682.0,239863.0,35495.0,50074.0,670.0,237.2,277.1818181818182,220.3846153846154,263.6363636363636,998.4027972027972
8,1995,80450.0,700111.0,65527.0,634584.0,38207.0,32103.0,5387.0,216.54545454545453,251.16666666666666,197.0,242.8181818181818,907.530303030303
9,1995,2107514.0,13242710.0,938814.0,5784787.0,951023.0,2070572.0,51123.0,238.8,273.45454545454544,219.3846153846154,261.27272727272725,992.9118881118881
10,1995,1270948.0,7052825.0,458452.0,2942239.0,442434.0,898969.0,22621.0,232.54545454545453,272.8333333333333,216.23076923076923,260.54545454545456,982.1550116550115
11,1995,183869.0,1173579.0,82547.0,28736.0,96922.0,94706.0,609.0,232.1818181818182,269.5833333333333,210.15384615384616,254.54545454545453,966.4644522144522
12,1995,240448.0,1083215.0,80861.0,336586.0,46107.0,134550.0,1665.0,237.0,281.8333333333333,221.0,266.7,1006.5333333333333
13,1995,1897161.0,12236673.0,686758.0,7449397.0,457236.0,1023865.0,45947.0,235.4,278.90909090909093,218.66666666666666,265.55555555555554,998.5313131313131
14,1995,966622.0,6514934.0,292362.0,2886574.0,290661.0,643725.0,4901.0,241.1818181818182,282.25,222.25,265.9,1011.5818181818182
15,1995,498837.0,3076971.0,141050.0,1554668.0,127943.0,209808.0,5957.0,240.0909090909091,283.8181818181818,222.53846153846155,266.55555555555554,1013.003108003108
16,1995,460905.0,2826943.0,137424.0,1076376.0,162631.0,177250.0,3209.0,242.6,286.1,222.0,266.8181818181818,1017.5181818181818
17,1995,639992.0,3508673.0,312742.0,977003.0,211275.0,143259.0,20290.0,233.63636363636363,274.3333333333333,220.84615384615384,265.54545454545456,994.3613053613053
18,1995,797061.0,3791795.0,449360.0,1343060.0,289366.0,219314.0,19440.0,226.63636363636363,265.5,207.23076923076923,254.63636363636363,954.0034965034964
19,1995,212154.0,1446745.0,78233.0,715886.0,63055.0,70968.0,821.0,240.0,284.0,224.3846153846154,268.90909090909093,1017.2937062937062
20,1995,790938.0,5580123.0,270249.0,3250655.0,253194.0,458731.0,19092.0,236.8181818181818,278.9166666666667,220.84615384615384,265.72727272727275,1002.3082750582751
21,1995,893727.0,7326904.0,265878.0,4965699.0,217956.0,259982.0,14792.0,246.0,292.3636363636364,231.23076923076923,273.72727272727275,1043.3216783216783
